Year,country_code,country_name,gdp,new_income_group,new_region,population,remittance_growth_rate,remittance_paid,remittance_per_capita,remittance_received,remittance_to_gdp_ratio,remittance_volatility,unemployment_rate,unemployment_rate_change,net_migration
1995,AZE,Azerbaijan,0.124103735,Upper middle income,Europe & Central Asia,7684850,0,9310000,0.390378472,3000000,24173325.65,899905968.1,7.2,0.9,-37975
1996,AZE,Azerbaijan,0.129009594,Upper middle income,Europe & Central Asia,7763000,36.60000167,14861000,0.527888709,4098000.05,31765079.81,899905968.1,8.1,0.9,-38092
1997,AZE,Azerbaijan,0.131133894,Upper middle income,Europe & Central Asia,7838250,26.7935587,19039000,0.662903084,5196000.099,39623623.92,899905968.1,9.1,1,-40423
1998,AZE,Azerbaijan,0.14155366,Upper middle income,Europe & Central Asia,7913000,21.13163741,30272000,0.795399975,6294000,44463703.73,899905968.1,10,0.9,-46097
1999,AZE,Azerbaijan,1.189457879,Upper middle income,Europe & Central Asia,7982750,765.7769304,77030000,6.826219035,54492000,45812467.14,899905968.1,10.9,0.9,5300
2000,AZE,Azerbaijan,1.083560552,Upper middle income,Europe & Central Asia,8048600,4.844747853,100962000,7.098377358,57132000,52726171.97,899905968.1,11.78,0.88,15938
2001,AZE,Azerbaijan,1.824316125,Upper middle income,Europe & Central Asia,8111200,82.25337814,141882000,12.83718809,104125000,57076182.45,899905968.1,10.91,-0.87,16248
2002,AZE,Azerbaijan,2.618902024,Upper middle income,Europe & Central Asia,8171950,56.84705882,187881000,19.98507088,163317000,62360866.69,899905968.1,10.04,-0.87,15071
2003,AZE,Azerbaijan,2.143322518,Upper middle income,Europe & Central Asia,8234100,-4.506573106,131284000,18.94038207,155957000,72764130.78,899905968.1,9.17,-0.87,13154
2004,AZE,Azerbaijan,2.345257843,Upper middle income,Europe & Central Asia,8306500,30.53469867,172305000,24.50827665,203578000,86804101.57,899905968.1,7.99,-1.18,13488
2005,AZE,Azerbaijan,4.70528614,Upper middle income,Europe & Central Asia,8391850,206.1406439,239397000,74.26669924,623235000,132454218.8,899905968.1,7.26,-0.73,16436
2006,AZE,Azerbaijan,3.766164595,Upper middle income,Europe & Central Asia,8484550,26.79230146,274348000,93.13564066,790214000,209819295,899905968.1,6.62,-0.64,16909
2007,AZE,Azerbaijan,3.835875905,Upper middle income,Europe & Central Asia,8581300,60.42932674,404535000,147.7322783,1267735000,330494268.2,899905968.1,6.33,-0.29,17111
2008,AZE,Azerbaijan,3.108057339,Upper middle income,Europe & Central Asia,8763400,19.76690712,567345000,173.2577538,1518327000,488513188.3,899905968.1,5.86,-0.47,15048
2009,AZE,Azerbaijan,2.832641153,Upper middle income,Europe & Central Asia,8947243,-17.3666147,638101000,140.2269951,1254645000,442924088.2,899905968.1,5.74,-0.12,890
2010,AZE,Azerbaijan,2.665497632,Upper middle income,Europe & Central Asia,9054332,12.40597938,953589000,155.7592542,1410296000,529092948,899905968.1,5.63,-0.11,1384
2011,AZE,Azerbaijan,2.870357339,Upper middle income,Europe & Central Asia,9173082,34.23281354,1279630000,206.3733868,1893080000,659527639.4,899905968.1,5.42,-0.21,1688
2012,AZE,Azerbaijan,2.856174613,Upper middle income,Europe & Central Asia,9295784,5.129207429,2072681000,214.0949058,1990180000,696799135.1,899905968.1,5.19,-0.23,1988
2013,AZE,Azerbaijan,2.337048376,Upper middle income,Europe & Central Asia,9416801,-12.91400778,1902602000,184.0506134,1733168000,741605530.2,899905968.1,4.97,-0.22,2289
2014,AZE,Azerbaijan,2.454054283,Upper middle income,Europe & Central Asia,9535079,6.534623303,2031324000,193.6453804,1846424000,752397374.7,899905968.1,4.91,-0.06,1084
2015,AZE,Azerbaijan,2.392716376,Upper middle income,Europe & Central Asia,9649341,-31.22034809,1293019000,131.6114748,1269964000,530762447.5,899905968.1,4.96,0.05,1084
2016,AZE,Azerbaijan,1.698438959,Upper middle income,Europe & Central Asia,9757812,-49.35698965,740236000,65.91108744,643148000,378670070.3,899905968.1,5,0.04,1484
2017,AZE,Azerbaijan,2.773340849,Upper middle income,Europe & Central Asia,9854033,76.2224247,603318000,115.0159534,1133371000,408666320.4,899905968.1,4.96,-0.04,1184
2018,AZE,Azerbaijan,2.601837175,Upper middle income,Europe & Central Asia,9939771,8.154346635,579500000,123.3217546,1225790000,471124792.8,899905968.1,4.94,-0.02,1583
2019,AZE,Azerbaijan,2.646993247,Upper middle income,Europe & Central Asia,10024283,4.02832092,621549000,127.2079764,1275168755,481742352.9,899905968.1,4.85,-0.09,392
2020,AZE,Azerbaijan,3.286456796,Upper middle income,Europe & Central Asia,10093121,10.03147579,731878000,139.014186,1403087000,426930000,899905968.1,7.16,2.31,1084
2021,AZE,Azerbaijan,2.784540874,Upper middle income,Europe & Central Asia,10137750,8.805512417,812858000,150.5892333,1526636000,548254117.7,899905968.1,5.95,-1.21,1084
2022,AZE,Azerbaijan,5.017753901,Upper middle income,Europe & Central Asia,10175016,158.7407214,811938000,388.2086279,3950029000,787210588.2,899905968.1,5.462,-0.488,0
1970,BHS,Bahamas,0,High income,Latin America & Caribbean,179129,0,0,0,0,0,0,0,0,1518
1971,BHS,Bahamas,0,High income,Latin America & Caribbean,184435,0,0,0,0,0,0,0,0,827
1972,BHS,Bahamas,0,High income,Latin America & Caribbean,189181,0,0,0,0,0,0,0,0,308
1973,BHS,Bahamas,0,High income,Latin America & Caribbean,193563,0,0,0,0,0,0,0,0,132
1974,BHS,Bahamas,0,High income,Latin America & Caribbean,197767,0,0,0,0,0,0,0,0,173
1975,BHS,Bahamas,0,High income,Latin America & Caribbean,201881,0,0,0,0,0,0,0,0,323
1976,BHS,Bahamas,0,High income,Latin America & Caribbean,206096,0,26500000,0,0,0,0,0,0,488
1977,BHS,Bahamas,0,High income,Latin America & Caribbean,210534,0,29200000.76,0,0,0,0,0,0,587
1978,BHS,Bahamas,0,High income,Latin America & Caribbean,215016,0,38900001.53,0,0,0,0,0,0,560
1979,BHS,Bahamas,0,High income,Latin America & Caribbean,219426,0,27200000.76,0,0,0,0,0,0,480
1980,BHS,Bahamas,0,High income,Latin America & Caribbean,223752,0,41700000.76,0,0,0,0,0,0,369
1981,BHS,Bahamas,0,High income,Latin America & Caribbean,227956,0,30500000,0,0,0,0,0,0,132
1982,BHS,Bahamas,0,High income,Latin America & Caribbean,232177,0,35200000.76,0,0,0,0,0,0,168
1983,BHS,Bahamas,0,High income,Latin America & Caribbean,236586,0,26700000.76,0,0,0,0,0,0,245
1984,BHS,Bahamas,0,High income,Latin America & Caribbean,241166,0,32400001.53,0,0,0,0,0,0,304
1985,BHS,Bahamas,0,High income,Latin America & Caribbean,245935,0,33700000.76,0,0,0,0,0,0,470
1986,BHS,Bahamas,0,High income,Latin America & Caribbean,250804,0,32200000.76,0,0,0,0,0,0,392
1987,BHS,Bahamas,0,High income,Latin America & Caribbean,255618,0,39500000,0,0,0,0,0,0,331
1988,BHS,Bahamas,0,High income,Latin America & Caribbean,260452,0,47400001.53,0,0,0,0,0,0,419
1989,BHS,Bahamas,0,High income,Latin America & Caribbean,265493,0,39700000.76,0,0,0,0,0,0,527
1990,BHS,Bahamas,0,High income,Latin America & Caribbean,270679,0,38700000,0,0,0,0,0,0,241
1991,BHS,Bahamas,0,High income,Latin America & Caribbean,276058,0,49500000,0,0,0,0,12.17,0,416
1992,BHS,Bahamas,0,High income,Latin America & Caribbean,281973,0,28800000,0,0,0,0,14.81,2.64,436
1993,BHS,Bahamas,0,High income,Latin America & Caribbean,288164,0,27300000,0,0,0,0,12.72,-2.09,448
1994,BHS,Bahamas,0,High income,Latin America & Caribbean,293997,0,28000000,0,0,0,0,13.83,1.11,458
1995,BHS,Bahamas,0,High income,Latin America & Caribbean,299554,0,31700000,0,0,0,0,10.83,-3,463
1996,BHS,Bahamas,0,High income,Latin America & Caribbean,304933,0,33200000,0,0,0,0,11.46,0.63,457
1997,BHS,Bahamas,0,High income,Latin America & Caribbean,310171,0,36800000,0,0,0,0,9.76,-1.7,448
1998,BHS,Bahamas,0,High income,Latin America & Caribbean,315398,0,39300000,0,0,0,0,7.65,-2.11,442
1999,BHS,Bahamas,0,High income,Latin America & Caribbean,320272,0,47100000,0,0,0,0,7.45,-0.2,426
2000,BHS,Bahamas,0,High income,Latin America & Caribbean,325014,0,56170000,0,0,0,0,7.196,-0.254,843
2001,BHS,Bahamas,0,High income,Latin America & Caribbean,329626,0,53620000,0,0,0,0,6.87,-0.326,293
2002,BHS,Bahamas,0,High income,Latin America & Caribbean,334002,0,57669730,0,0,0,0,9.05,2.18,634
2003,BHS,Bahamas,0,High income,Latin America & Caribbean,338490,0,62750000,0,0,0,0,10.84,1.79,951
2004,BHS,Bahamas,0,High income,Latin America & Caribbean,343089,0,71390000,0,0,0,0,10.2,-0.64,1031
2005,BHS,Bahamas,0,High income,Latin America & Caribbean,347804,0,83964350,0,0,0,0,10.2,0,800
2006,BHS,Bahamas,0,High income,Latin America & Caribbean,352664,0,100290000,0,0,0,0,7.54,-2.66,1737
2007,BHS,Bahamas,0,High income,Latin America & Caribbean,357666,0,94990000,0,0,0,0,7.88,0.34,1728
2008,BHS,Bahamas,0,High income,Latin America & Caribbean,362795,0,65924820,0,0,0,0,8.18,0.3,1476
2009,BHS,Bahamas,0,High income,Latin America & Caribbean,368057,0,63340000,0,0,0,0,14.25,6.07,1617
2010,BHS,Bahamas,0,High income,Latin America & Caribbean,373272,0,88040000,0,0,0,0,14.321,0.071,1899
2011,BHS,Bahamas,0,High income,Latin America & Caribbean,377950,0,119727000,0,0,0,0,14.52,0.199,1384
2012,BHS,Bahamas,0,High income,Latin America & Caribbean,382061,0,139704000,0,0,0,0,14.02,-0.5,1048
2013,BHS,Bahamas,0,High income,Latin America & Caribbean,385650,0,138725000,0,0,0,0,16.18,2.16,1001
2014,BHS,Bahamas,0,High income,Latin America & Caribbean,389131,0,150819241,0,0,0,0,13.8,-2.38,1001
2015,BHS,Bahamas,0,High income,Latin America & Caribbean,392697,0,178800140.7,0,0,0,0,12,-1.8,1001
2016,BHS,Bahamas,0,High income,Latin America & Caribbean,395976,0,193848517.9,0,0,0,0,12.7,0.7,1001
2017,BHS,Bahamas,0,High income,Latin America & Caribbean,399020,0,262328167.5,0,0,0,0,9.8,-2.9,1001
2018,BHS,Bahamas,0,High income,Latin America & Caribbean,401906,0,210701450.4,0,0,0,0,10,0.2,1001
2019,BHS,Bahamas,0,High income,Latin America & Caribbean,404557,0,206936185.7,0,0,0,0,10.051,0.051,1001
2020,BHS,Bahamas,0,High income,Latin America & Caribbean,406471,0,235468493.5,0,0,0,0,12.867,2.816,0
2021,BHS,Bahamas,0,High income,Latin America & Caribbean,407906,0,246134328,0,0,0,0,11.665,-1.202,485
2022,BHS,Bahamas,0,High income,Latin America & Caribbean,409984,0,0,0,0,0,0,10.056,-1.609,0
1970,BHR,Bahrain,0,High income,Middle East & North Africa,222555,0,0,0,0,0,0,0,0,-1060
1971,BHR,Bahrain,0,High income,Middle East & North Africa,230992,0,0,0,0,0,0,0,0,4147
1972,BHR,Bahrain,0,High income,Middle East & North Africa,243143,0,0,0,0,0,0,0,0,6147
1973,BHR,Bahrain,0,High income,Middle East & North Africa,256632,0,0,0,0,0,0,0,0,6382
1974,BHR,Bahrain,0,High income,Middle East & North Africa,270627,0,0,0,0,0,0,0,0,6647
1975,BHR,Bahrain,0,High income,Middle East & North Africa,285116,0,263463958.7,0,0,0,0,0,0,6833
1976,BHR,Bahrain,0,High income,Middle East & North Africa,300044,0,292467742.9,0,0,0,0,0,0,6930
1977,BHR,Bahrain,0,High income,Middle East & North Africa,315337,0,347529388.4,0,0,0,0,0,0,6948
1978,BHR,Bahrain,0,High income,Middle East & North Africa,330912,0,448570159.9,0,0,0,0,0,0,6913
1979,BHR,Bahrain,0,High income,Middle East & North Africa,346697,0,322574310.3,0,0,0,0,0,0,6798
1980,BHR,Bahrain,0,High income,Middle East & North Africa,362595,0,329973266.6,0,0,0,0,0,0,6613
1981,BHR,Bahrain,0,High income,Middle East & North Africa,377430,0,367287231.4,0,0,0,0,0,0,4206
1982,BHR,Bahrain,0,High income,Middle East & North Africa,391017,0,372872345,0,0,0,0,0,0,3553
1983,BHR,Bahrain,0,High income,Middle East & North Africa,404772,0,345478729.2,0,0,0,0,0,0,3811
1984,BHR,Bahrain,0,High income,Middle East & North Africa,419217,0,384042541.5,0,0,0,0,0,0,4108
1985,BHR,Bahrain,0,High income,Middle East & North Africa,434375,0,778457458.5,0,0,0,0,0,0,4256
1986,BHR,Bahrain,0,High income,Middle East & North Africa,450196,0,716223388.7,0,0,0,0,0,0,4457
1987,BHR,Bahrain,0,High income,Middle East & North Africa,466565,0,672074462.9,0,0,0,0,0,0,4713
1988,BHR,Bahrain,0,High income,Middle East & North Africa,483337,0,668617004.4,0,0,0,0,0,0,4871
1989,BHR,Bahrain,0,High income,Middle East & North Africa,500349,0,693882995.6,0,0,0,0,0,0,4638
1990,BHR,Bahrain,0,High income,Middle East & North Africa,517418,0,332180851.1,0,0,0,0,0,0,4605
1991,BHR,Bahrain,0,High income,Middle East & North Africa,535415,0,369148936.2,0,0,0,0,1.061,0,6605
1992,BHR,Bahrain,0,High income,Middle East & North Africa,554470,0,335638297.9,0,0,0,0,1.102,0.041,6728
1993,BHR,Bahrain,0,High income,Middle East & North Africa,573755,0,395744692.3,0,0,0,0,1.05,-0.052,6967
1994,BHR,Bahrain,0,High income,Middle East & North Africa,593254,0,430585146.5,0,0,0,0,1.167,0.117,7424
1995,BHR,Bahrain,0,High income,Middle East & North Africa,612934,0,499734081.3,0,0,0,0,1.128,-0.039,7706
1996,BHR,Bahrain,0,High income,Middle East & North Africa,632756,0,559308559,0,0,0,0,1.127,-0.001,7844
1997,BHR,Bahrain,0,High income,Middle East & North Africa,652643,0,634840484.6,0,0,0,0,1.136,0.009,7730
1998,BHR,Bahrain,0,High income,Middle East & North Africa,672484,0,725000072.3,0,0,0,0,1.121,-0.015,7388
1999,BHR,Bahrain,0,High income,Middle East & North Africa,692133,0,856171707,0,0,0,0,1.126,0.005,6737
2000,BHR,Bahrain,0,High income,Middle East & North Africa,711442,0,1012681830,0,0,0,0,1.117,-0.009,6264
2001,BHR,Bahrain,0,High income,Middle East & North Africa,730257,0,1286918851,0,0,0,0,1.144,0.027,5704
2002,BHR,Bahrain,0,High income,Middle East & North Africa,748324,0,871542553.2,0,0,0,0,1.136,-0.008,4197
2003,BHR,Bahrain,0,High income,Middle East & North Africa,778256,0,1082180851,0,0,0,0,1.11,-0.026,28186
2004,BHR,Bahrain,0,High income,Middle East & North Africa,833451,0,1119946809,0,0,0,0,1.103,-0.007,53424
2005,BHR,Bahrain,0,High income,Middle East & North Africa,901921,0,1223404255,0,0,0,0,1.104,0.001,53401
2006,BHR,Bahrain,0,High income,Middle East & North Africa,970981,0,1530851064,0,0,0,0,1.107,0.003,53765
2007,BHR,Bahrain,0,High income,Middle East & North Africa,1040532,0,1482771277,0,0,0,0,1.091,-0.016,54165
2008,BHR,Bahrain,0,High income,Middle East & North Africa,1110343,0,1774489021,0,0,0,0,1.11,0.019,53870
2009,BHR,Bahrain,0,High income,Middle East & North Africa,1179453,0,1390957447,0,0,0,0,1.144,0.034,52049
2010,BHR,Bahrain,0,High income,Middle East & North Africa,1213645,0,1641755319,0,0,0,0,1.13,-0.014,-17076
2011,BHR,Bahrain,0,High income,Middle East & North Africa,1212077,0,2050000000,0,0,0,0,1.185,0.055,-20040
2012,BHR,Bahrain,0,High income,Middle East & North Africa,1224939,0,2074468085,0,0,0,0,1.2,0.015,11754
2013,BHR,Bahrain,0,High income,Middle East & North Africa,1261673,0,2165957447,0,0,0,0,1.178,-0.022,27227
2014,BHR,Bahrain,0,High income,Middle East & North Africa,1311134,0,2364361702,0,0,0,0,1.184,0.006,36320
2015,BHR,Bahrain,0,High income,Middle East & North Africa,1362142,0,2367287234,0,0,0,0,1.197,0.013,29250
2016,BHR,Bahrain,0,High income,Middle East & North Africa,1409661,0,2391489362,0,0,0,0,1.181,-0.016,29052
2017,BHR,Bahrain,0,High income,Middle East & North Africa,1456834,0,2465957447,0,0,0,0,1.169,-0.012,29024
2018,BHR,Bahrain,0,High income,Middle East & North Africa,1487340,0,3268882979,0,0,0,0,1.185,0.016,-3601
2019,BHR,Bahrain,0,High income,Middle East & North Africa,1494188,0,0,0,0,0,0,1.181,-0.004,-17127
2020,BHR,Bahrain,0,High income,Middle East & North Africa,1477469,0,0,0,0,0,0,1.674,0.493,-48716
2021,BHR,Bahrain,0,High income,Middle East & North Africa,1463265,0,0,0,0,0,0,1.532,-0.142,-9150
2022,BHR,Bahrain,0,High income,Middle East & North Africa,1472233,0,0,0,0,0,0,1.399,-0.133,0
1970,BGD,Bangladesh,0,Lower middle income,South Asia,67541860,0,0,0,0,0,6940457654,0,0,-193149
1971,BGD,Bangladesh,0,Lower middle income,South Asia,68376204,0,0,0,0,0,6940457654,0,0,-289989
1972,BGD,Bangladesh,0,Lower middle income,South Asia,69346705,0,0,0,0,0,6940457654,0,0,-331901
1973,BGD,Bangladesh,0,Lower middle income,South Asia,71144818,0,0,0,0,0,6940457654,0,0,-320793
1974,BGD,Bangladesh,0,Lower middle income,South Asia,72947807,0,0,0,0,0,6940457654,0,0,-349410
1975,BGD,Bangladesh,0,Lower middle income,South Asia,74700345,0,0,0,0,0,6940457654,0,0,-499347
1976,BGD,Bangladesh,0.185440982,Lower middle income,South Asia,76380080,0,720442.6527,0.245630462,18761274.34,101171133.5,6940457654,0,0,-635891
1977,BGD,Bangladesh,0.817260574,Lower middle income,South Asia,78137788,320.4140759,517298.758,1.009435257,78875038.15,96511492.98,6940457654,0,0,-472837
1978,BGD,Bangladesh,0.869126602,Lower middle income,South Asia,80007550,46.35222259,266491.8005,1.442805978,115435371.4,132817671.4,6940457654,0,0,-503563
1979,BGD,Bangladesh,1.099475884,Lower middle income,South Asia,81908151,48.25499353,195129.6926,2.089397701,171138702.4,155654803.2,6940457654,0,0,-495624
1980,BGD,Bangladesh,1.867161932,Lower middle income,South Asia,83929765,97.89021609,392002.4037,4.035120889,338666748,181380491,6940457654,0,0,-369408
1981,BGD,Bangladesh,1.88176747,Lower middle income,South Asia,86154836,12.51537293,223066.7025,4.422875978,381052154.5,202496940,6940457654,0,0,-194707
1982,BGD,Bangladesh,2.841847986,Lower middle income,South Asia,88555336,38.16053206,133171.5137,5.945024974,526463684.1,185253992,6940457654,0,0,-129194
1983,BGD,Bangladesh,3.64817268,Lower middle income,South Asia,91045478,22.02332805,162511.2742,7.055907909,642408508.3,176090488.2,6940457654,0,0,-52640
1984,BGD,Bangladesh,2.64653898,Lower middle income,South Asia,93534239,-22.05156072,196470.6928,5.353626772,500747406,189208400,6940457654,0,0,-137861
1985,BGD,Bangladesh,2.255417149,Lower middle income,South Asia,95959099,0.344279068,415305.5549,5.236307758,502471374.5,222784230.7,6940457654,0,0,-204954
1986,BGD,Bangladesh,2.64665008,Lower middle income,South Asia,98271746,14.68961217,0,5.864172503,576282470.7,217740333.4,6940457654,0,0,-344929
1987,BGD,Bangladesh,3.077652095,Lower middle income,South Asia,100490256,29.76429736,0,7.441606069,747808898.9,242980322.6,6940457654,0,0,-369057
1988,BGD,Bangladesh,2.87302745,Lower middle income,South Asia,102688833,2.114608749,0,7.436272368,763622131.3,265790057.6,6940457654,0,0,-319331
1989,BGD,Bangladesh,2.633545497,Lower middle income,South Asia,104893674,-0.738922809,0,7.226170314,757979553.2,287817147.7,6940457654,0,0,-285369
1990,BGD,Bangladesh,2.464893948,Lower middle income,South Asia,107147651,2.755489553,0,7.269087034,778865600.6,315983412.3,6940457654,0,0,-200144
1991,BGD,Bangladesh,2.485233373,Lower middle income,South Asia,109242834,-1.219706955,0,7.042711128,769365722.7,309574839.6,6940457654,2.2,0,-386852
1992,BGD,Bangladesh,2.875409362,Lower middle income,South Asia,111272102,18.50800235,0,8.193967152,911759948.7,317088746,6940457654,2.295,0.095,-265940
1993,BGD,Bangladesh,3.037325226,Lower middle income,South Asia,113418757,10.48687348,0,8.881908845,1007375061,331665194.2,6940457654,2.339,0.044,-271146
1994,BGD,Bangladesh,3.408134039,Lower middle income,South Asia,115614891,14.24555467,0,9.954437668,1150881226,337686608.8,6940457654,2.381,0.042,-214321
1995,BGD,Bangladesh,3.16729632,Lower middle income,South Asia,117793338,4.412535356,0,10.20146205,1201664267,379397487.8,6940457654,2.464,0.083,-374788
1996,BGD,Bangladesh,2.895575156,Lower middle income,South Asia,119876868,11.89990798,790506.6271,11.21701986,1344661209,464384841.2,6940457654,2.51,0.046,-389040
1997,BGD,Bangladesh,3.164102816,Lower middle income,South Asia,122039226,13.5229851,1714249.528,12.50826963,1526499544,482443091.4,6940457654,2.694,0.184,-390261
1998,BGD,Bangladesh,3.212565379,Lower middle income,South Asia,124350471,5.194047277,2557265.566,12.91339421,1605786652,499845594.6,6940457654,2.895,0.201,-407859
1999,BGD,Bangladesh,3.524037661,Lower middle income,South Asia,126754824,12.51769902,3704857.23,14.25424402,1806794192,512705698.9,6940457654,3.068,0.173,-435710
2000,BGD,Bangladesh,3.686596776,Lower middle income,South Asia,129193327,8.896124789,4378216.685,15.22933811,1967528858,533697873,6940457654,3.27,0.202,-424718
2001,BGD,Bangladesh,3.897946271,Lower middle income,South Asia,131670484,6.964198286,3699706.708,15.98347181,2104551469,539912898.4,6940457654,3.618,0.348,-347605
2002,BGD,Bangladesh,5.222669239,Lower middle income,South Asia,134139826,35.8036528,5734840.986,21.30655641,2858057770,547240814.8,6940457654,3.934,0.316,-451611
2003,BGD,Bangladesh,5.305388203,Lower middle income,South Asia,136503206,11.67250591,7068562.162,23.38161004,3191664732,601589291.8,6940457654,4.32,0.386,-533925
2004,BGD,Bangladesh,5.504373149,Lower middle income,South Asia,138789725,12.28676972,7743207.699,25.82192038,3583817228,651085442.6,6940457654,4.272,-0.048,-535175
2005,BGD,Bangladesh,6.21301842,Lower middle income,South Asia,140912590,20.38847328,5457649.19,30.61829213,4314502846,694429431,6940457654,4.25,-0.022,-715970
2006,BGD,Bangladesh,7.557205064,Lower middle income,South Asia,142628831,25.79700658,3322209.508,38.05342434,5427515429,718190836.8,6940457654,3.59,-0.66,-1146688
2007,BGD,Bangladesh,8.242884912,Lower middle income,South Asia,144135934,20.90829419,2809832.242,45.5286627,6562316322,796118882.2,6940457654,4.092,0.502,-923456
2008,BGD,Bangladesh,9.757161286,Lower middle income,South Asia,145421318,36.24170441,14330657.12,61.48074938,8940611606,916312782.4,6940457654,4.548,0.456,-1390782
2009,BGD,Bangladesh,10.26627734,Lower middle income,South Asia,146706810,17.67263214,7791556.368,71.71209711,10520653006,1024777790,6940457654,5,0.452,-740788
2010,BGD,Bangladesh,9.412125648,Lower middle income,South Asia,148391139,3.132491974,9418584.307,73.11899949,10850211617,1152790775,6940457654,3.38,-1.62,-462265
2011,BGD,Bangladesh,9.383754953,Lower middle income,South Asia,150211005,11.25196088,11612731.71,80.36077772,12071073184,1286379839,6940457654,3.75,0.37,-341152
2012,BGD,Bangladesh,10.58793464,Lower middle income,South Asia,152090649,16.97076821,11741740.26,92.8369175,14119627034,1333558198,6940457654,4.099,0.349,-242022
2013,BGD,Bangladesh,9.245219743,Lower middle income,South Asia,154030139,-1.789516213,19553597.14,90.02753688,13866954019,1499905292,6940457654,4.43,0.331,-194048
2014,BGD,Bangladesh,8.669053977,Lower middle income,South Asia,155961299,8.080919995,32521361.43,96.09775999,14987531479,1728854327,6940457654,4.393,-0.037,-219628
2015,BGD,Bangladesh,7.840705298,Lower middle income,South Asia,157830000,2.055072354,32102746.72,96.9114623,15295536095,1950785741,6940457654,4.371,-0.022,-286512
2016,BGD,Bangladesh,5.117806771,Lower middle income,South Asia,159784568,-11.25328461,41213540.69,84.95367266,13574285886,2652363892,6940457654,4.35,-0.021,-55013
2017,BGD,Bangladesh,4.596328099,Lower middle income,South Asia,161793964,-0.533014065,46838244.51,83.45140139,13501933033,2937547699,6940457654,4.37,0.02,-175755
2018,BGD,Bangladesh,4.843575351,Lower middle income,South Asia,163683958,15.28898782,56932184.62,95.09937394,15566241930,3213791632,6940457654,4.38,0.01,-323380
2019,BGD,Bangladesh,5.228317768,Lower middle income,South Asia,165516222,17.97233792,82792588.33,110.9490013,18363859531,3512383972,6940457654,4.382,0.002,-344054
2020,BGD,Bangladesh,5.817469565,Lower middle income,South Asia,167420951,18.44812057,94827814.18,129.9218906,21751646479,3739021964,6940457654,5.209,0.827,-61154
2021,BGD,Bangladesh,5.334465768,Lower middle income,South Asia,169356251,2.08654043,100464837,131.117117,22205503377,4162648022,6940457654,5.097,-0.112,-174500
2022,BGD,Bangladesh,4.672739458,Lower middle income,South Asia,171186372,-3.159170261,136765742.2,125.6174394,21503993718,4602010001,6940457654,4.699,-0.398,0
1970,BRB,Barbados,0,High income,Latin America & Caribbean,241397,0,550000.0119,18.22723603,4400000.095,0,59130431.57,0,0,-1995
1971,BRB,Barbados,0,High income,Latin America & Caribbean,242350,4.724632512,354452.5802,19.01334405,4607883.93,0,59130431.57,0,0,-1705
1972,BRB,Barbados,0,High income,Latin America & Caribbean,243458,10.69645747,416388.8991,20.95131101,5100764.275,0,59130431.57,0,0,-1480
1973,BRB,Barbados,0,High income,Latin America & Caribbean,244643,25.08102678,816651.2847,26.07917794,6380088.329,0,59130431.57,0,0,-1417
1974,BRB,Barbados,2.608531708,High income,Latin America & Caribbean,245851,27.48292136,438333.5412,33.08313974,8133522.987,3118046.433,59130431.57,0,0,-1348
1975,BRB,Barbados,2.290795639,High income,Latin America & Caribbean,247090,13.27305471,396261.9305,37.28637316,9213089.943,4021786.049,59130431.57,0,0,-1256
1976,BRB,Barbados,2.213753191,High income,Latin America & Caribbean,248359,4.74227082,100000.0015,38.85504298,9649999.619,4359112.686,59130431.57,0,0,-1182
1977,BRB,Barbados,2.019803495,High income,Latin America & Caribbean,249663,3.626947097,649999.9762,40.05399278,10000000,4950976.679,59130431.57,0,0,-1143
1978,BRB,Barbados,2.116177355,High income,Latin America & Caribbean,251009,16.9999981,649999.9762,46.61187372,11699999.81,5528837.071,59130431.57,0,0,-1176
1979,BRB,Barbados,2.118257036,High income,Latin America & Caribbean,252334,21.36752171,750000,56.27461939,14199999.81,6703624.522,59130431.57,0,0,-1296
1980,BRB,Barbados,0.898960254,High income,Latin America & Caribbean,253575,-35.91548942,699999.9881,35.88682,9100000.381,10122806.14,59130431.57,0,0,-1410
1981,BRB,Barbados,0.99173875,High income,Latin America & Caribbean,254684,21.42856843,800000.0119,43.38710005,11050000.19,11142047.43,59130431.57,0,0,-1517
1982,BRB,Barbados,0.777542306,High income,Latin America & Caribbean,255642,-18.09954719,550000.0119,35.40106943,9050000.191,11639238.3,59130431.57,0,0,-1563
1983,BRB,Barbados,0.683647812,High income,Latin America & Caribbean,256505,-6.629838335,500000,32.94282688,8449999.809,12360165.07,59130431.57,0,0,-1563
1984,BRB,Barbados,0.772149104,High income,Latin America & Caribbean,257279,23.07692136,850000.0238,40.42304121,10399999.62,13468900.72,59130431.57,0,0,-1547
1985,BRB,Barbados,0.578204382,High income,Latin America & Caribbean,257911,-21.63461618,750000,31.6000466,8149999.619,14095361.21,59130431.57,0,0,-1548
1986,BRB,Barbados,0.697784786,High income,Latin America & Caribbean,258370,32.51534595,800000.0119,41.80051937,10800000.19,15477551.83,59130431.57,0,0,-1599
1987,BRB,Barbados,1.654570056,High income,Latin America & Caribbean,258654,161.1111136,4500000,109.0259604,28200000.76,17043703.08,59130431.57,0,0,-1659
1988,BRB,Barbados,1.762507859,High income,Latin America & Caribbean,258762,13.29787198,3650000.095,123.4725375,31950000.76,18127579.17,59130431.57,0,0,-1721
